Name,Administration,Pop2014,Pop2019,city,city2,city3,city4,1,2,3
Rovenky,LUH,47370,45898,Rovenky,XYZ123,NA,Rovenki,NA,NA,NA
Nova Kachovka,CHE,47638,45819,Nova Kakhovka,XYZ123,NA,Novaya Kakhovka,NA,NA,NA
Brjanka,LUH,46830,45408,Brianka,XYZ123,NA,NA,NA,NA,NA
Lubny,POL,47397,45379,XYZ123,XYZ123,NA,NA,NA,NA,NA
Svitlovodsk,KIR,46372,44857,Svitlovodsk,XYZ123,NA,Svetlovodsk,NA,NA,NA
Zovti Vody,DNI,47284,44128,Zhovti Vody,XYZ123,NA,NA,NA,NA,NA
Sorokyne,LUH,44014,43012,Sorokine,Krasnodon,NA,NA,NA,NA,NA
Varas,RIV,41560,42350,Varash,Kuznecovsk,Varash / Kuznetsovsk,NA,Bar,NA,NA
Sepetivka,CHM,43255,41599,Shepetivka,XYZ123,NA,NA,Shepetovka,NA,NA
Vysneve,KYI,38011,40919,Vyshneve,XYZ123,NA,NA,NA,NA,NA
Podilsk,ODE,40717,40406,Podilsk,Kotovsk,Podolsk / Kotovsk,NA,NA,NA,NA
Juznoukrainsk,MYK,40378,39674,Yuzhnoukrainsk,XYZ123,NA,NA,NA,NA,NA
Myrhorod,POL,40876,39575,XYZ123,XYZ123,NA,Mirgorod,NA,NA,NA
Romny,SUM,41951,39532,XYZ123,XYZ123,NA,NA,NA,NA,NA
Pokrov,DNI,41152,39044,XYZ123,Ordzonikidze,Pokrov / Ordzhonikidze,NA,NA,NA,NA
Volodymyr-Volynskyj,VOL,38964,38577,Volodymyr-Volynskyi,XYZ123,NA,Vladimir-Volynsky,NA,NA,NA
Dzankoj,KRY,35693,38438,Dzhankoy,XYZ123,NA,NA,NA,NA,NA
Inhulec,DNI,38000,38000,Inhulets,XYZ123,NA,NA,NA,NA,NA
Vasylkiv,KYI,36888,37696,Vasylkiv,XYZ123,NA,NA,Vasilkov,NA,NA
Dubno,RIV,38087,37563,XYZ123,XYZ123,NA,NA,NA,NA,NA
Netisyn,CHM,36844,36909,Netishyn,XYZ123,NA,NA,Neteshin,NA,NA
Pervomajsk,LUH,38235,36814,Pervomaisk,XYZ123,NA,Pervomaysk,NA,NA,NA
Kachovka,CHE,37316,35983,Kakhovka,XYZ123,NA,NA,NA,NA,NA
Slavuta,CHM,35892,35444,XYZ123,XYZ123,NA,NA,NA,NA,NA
Bojarka,KYI,35558,35411,Boyarka,XYZ123,NA,NA,NA,NA,NA
Buca,KYI,29805,35162,Bucha,XYZ123,NA,NA,Bar,Buchach,NA
Sambir,LVI,34879,34823,XYZ123,XYZ123,NA,Sambor,Saki,NA,NA
Voznesensk,MYK,36192,34757,Voznesensk,XYZ123,NA,NA,NA,NA,NA
Jasynuvata,DON,35701,34607,Yasynuvata,XYZ123,NA,NA,NA,NA,NA
Starokostjantyniv,CHM,35104,34571,Starokostiantyniv,XYZ123,NA,NA,NA,NA,NA
Zmerynka,VIN,35354,34498,Zhmerynka,XYZ123,NA,NA,Zhmerinka,NA,NA
Boryslav,LVI,34877,33537,XYZ123,XYZ123,NA,NA,Borislav,NA,NA
Obuchiv,KYI,33180,33204,Obukhiv,XYZ123,NA,NA,Obukhov,NA,NA
Hluchiv,SUM,34282,33024,Hlukhiv,XYZ123,NA,Glukhov,NA,NA,NA
Avdiivka,DON,35090,32843,Avdiivka,XYZ123,NA,NA,NA,NA,NA
Juzne,ODE,31796,32563,Yuzhne,XYZ123,NA,NA,NA,NA,NA
Toreck,DON,34750,32373,Toretsk,Dzerzynsk,Toretsk / Dzerzhinsk,NA,NA,NA,NA
Cuhuiv,CHA,32379,31993,Chuhuiv,XYZ123,NA,NA,Chuguev,NA,NA
Kostopil,RIV,31668,31306,Kostopil,XYZ123,NA,NA,Kostopol,NA,NA
Novojavorivsk,LVI,29950,31110,Novoiavorivsk,XYZ123,NA,NA,NA,NA,NA
