Name,Administration,Pop2010,Pop2019,Region,city,city2
Uraj,TUM,39457,40292,Ural,Uray,XYZ123
Spassk-Dalnij,PRI,44173,40200,Far East,Spassk-Dalny,XYZ123
Ust-Labinsk,KND,43270,40180,Southern,XYZ123,XYZ123
Zainsk,TAT,41803,39938,Volga,XYZ123,XYZ123
Jalutorovsk,TUM,36493,39919,Ural,Yalutorovsk,XYZ123
Tutajev,JAR,41005,39883,Central,Tutayev,XYZ123
Pyt-Jach,TUM,41488,39831,Ural,Pyt-Yakh,XYZ123
Apseronsk,KND,40225,39762,Southern,Apsheronsk,XYZ123
Belaja Kalitva,ROS,43651,39753,Southern,Belaya Kalitva,XYZ123
Novozybkov,BRA,40553,39725,Central,XYZ123,XYZ123
Jelizovo,KAM,39569,39198,Far East,Yelizovo,XYZ123
Sovetsk,KLN,41705,39150,North West,XYZ123,Tilsit
Dinskaja,KND,34848,39100,Southern,Dinskaya,XYZ123
Amursk,CBR,42970,39046,Far East,XYZ123,XYZ123
Gorjacij Kljuc,KND,30126,38972,Southern,Goryachy Klyuch,XYZ123
Pecora,KOM,43105,38784,North West,Pechora,XYZ123
Sajansk,IRK,40800,38674,Siberia,Sayansk,XYZ123
Rtiscevo,SAR,41289,38663,Volga,Rtishchevo,XYZ123
Abinsk,KND,34928,38547,Southern,XYZ123,XYZ123
Kackanar,SVE,41426,38441,Ural,Kachkanar,XYZ123
Baksan,KBA,36860,38361,Northern Caucasus,XYZ123,XYZ123
Pereslavl-Zalesskij,JAR,41925,38255,Central,Pereslavl-Zalessky,XYZ123
Kurcatov,KRS,42706,38240,Central,Kurchatov,XYZ123
Morsansk,TAM,41556,38230,Central,Morshansk,XYZ123
Mariinsk,KEM,40526,38209,Siberia,XYZ123,XYZ123
Malgobek,ING,31018,38200,Northern Caucasus,XYZ123,XYZ123
Aleksejevka,BEL,39026,38179,Central,Alexeyevka,XYZ123
Argun,CEC,29525,38169,Northern Caucasus,XYZ123,XYZ123
Krasnoufimsk,SVE,39765,38088,Ural,XYZ123,XYZ123
Novodvinsk,ARC,40615,38082,North West,XYZ123,XYZ123
Usinsk,KOM,40827,38038,North West,XYZ123,XYZ123
Bolsoj Kamen,PRI,39257,37918,Far East,Bolshoy Kamen,XYZ123
Izobilnyj,STA,40555,37868,Northern Caucasus,Izobilny,XYZ123
Krasnyj Sulin,ROS,40866,37787,Southern,Krasny Sulin,XYZ123
Zavolzje,NNO,40460,37758,Volga,Zavolzhye,XYZ123
Ljudinovo,KLG,40530,37734,Central,Lyudinovo,XYZ123
Ucaly,BAS,37788,37710,Volga,Uchaly,XYZ123
Kiziljurt,DAG,32988,37588,Northern Caucasus,Kizilyurt,XYZ123
Konakovo,TVE,41291,37545,Central,XYZ123,XYZ123
Juznouralsk,CEL,37877,37541,Ural,Yuzhnouralsk,XYZ123
Jugorsk,TUM,34067,37422,Ural,Yugorsk,XYZ123
Alapajevsk,SVE,38192,37219,Ural,Alapayevsk,XYZ123
Beslan,SOE,36728,37196,Northern Caucasus,XYZ123,XYZ123
Mcensk,ORL,43222,37136,Central,Mtsensk,XYZ123
Urjupinsk,VGG,41590,37109,Southern,Uryupinsk,XYZ123
Partizansk,PRI,38659,36992,Far East,XYZ123,XYZ123
Achtubinsk,AST,41853,36955,Southern,Akhtubinsk,XYZ123
Rez,SVE,38215,36843,Ural,Rezh,XYZ123
Tosno,LEN,39101,36791,North West,XYZ123,XYZ123
Sarypovo,KNJ,38561,36789,Siberia,Sharypovo,XYZ123
Gorjacevodskij,STA,36967,36754,Northern Caucasus,Goryachevodsky,XYZ123
Sokol,VLD,38452,36668,North West,XYZ123,XYZ123
Irbit,SVE,38357,36668,Ural,XYZ123,XYZ123
Frolovo,VGG,39449,36513,Southern,XYZ123,XYZ123
Kystym,CEL,38942,36414,Ural,Kyshtym,XYZ123
Korjazma,ARC,39641,36224,North West,Koryazhma,XYZ123
Leningradskaja,KND,36940,36070,Southern,Leningradskaya,XYZ123
Protvino,MOS,37308,35807,Central,XYZ123,XYZ123
Svetlograd,STA,38520,35745,Northern Caucasus,XYZ123,XYZ123
Kinel,SAM,34491,35715,Volga,XYZ123,XYZ123
Jablonovskij,ADY,26171,35639,Southern,Yablonovsky,XYZ123
Cernjachovsk,KLN,40449,35432,North West,Chernyakhovsk,Insterburg
Mirnyj,SCA,37188,35381,Far East,Mirny,XYZ123
Lesozavodsk,PRI,37034,35310,Far East,XYZ123,XYZ123
Millerovo,ROS,36499,35208,Southern,XYZ123,XYZ123
Novokubansk,KND,34880,35173,Southern,XYZ123,XYZ123
Kamenka,PEN,39577,35154,Volga,XYZ123,XYZ123
Vjazniki,VLA,41248,35028,Central,Vyazniki,XYZ123
Luga,LEN,38593,35000,North West,XYZ123,XYZ123
Blagovescensk,BAS,34239,34967,Volga,Blagoveshchensk,XYZ123
Jefremov,TUL,42350,34734,Central,Yefremov,XYZ123
Zelenokumsk,STA,35839,34690,Northern Caucasus,XYZ123,XYZ123
Aznakajevo,TAT,34853,34587,Volga,Aznakayevo,XYZ123
Dalnegorsk,PRI,37519,34454,Far East,Dalnegorsk,XYZ123
Novaja Usman,VRN,29270,34430,Central,Novaya Usman,XYZ123
Gulkevici,KND,35244,34215,Southern,Gulkevichi,XYZ123
Gaj,ORB,38301,34205,Volga,Gay,XYZ123
Valujki,BEL,35322,34193,Central,Valuyki,XYZ123
Alatyr,CUV,38203,34176,Volga,Alatyr,XYZ123
Korkino,CEL,38597,34166,Ural,XYZ123,XYZ123
Nizneudinsk,IRK,36999,33971,Siberia,Nizhneudinsk,XYZ123
Bogorodsk,NNO,35499,33931,Volga,XYZ123,XYZ123
Vicuga,IVA,37583,33794,Central,Vichuga,XYZ123
Privolzskij,SAR,34364,33647,Volga,Privolzhsky,XYZ123
Korsakov,SCL,33526,33645,Far East,XYZ123,XYZ123
Baltijsk,KLN,32697,33551,North West,Baltiysk,Pillau
Istra,MOS,35111,33535,Central,XYZ123,XYZ123
Suchoj Log,SVE,34554,33497,Ural,Sukhoy Log,XYZ123
Furmanov,IVA,36144,33364,Central,XYZ123,XYZ123
Cernuska,PER,33272,32952,Volga,Chernushka,XYZ123
Tavda,SVE,35421,32932,Ural,XYZ123,XYZ123
Tynda,AMU,36275,32920,Far East,XYZ123,XYZ123
Tajset,IRK,35485,32754,Siberia,Tayshet,XYZ123
Trechgornyj,CEL,33670,32613,Ural,Tryokhgorny,Zlatoust-36
Satura,MOS,32885,32384,Central,Shatura,XYZ123
Slobodskoj,KIR,33981,32382,Volga,Slobodskoy,XYZ123
Nurlat,TAT,32601,32345,Volga,XYZ123,XYZ123
Slancy,LEN,33485,32337,North West,Slantsy,XYZ123
Ostrogozsk,VRN,33842,32317,Central,Ostrogozhsk,XYZ123
Dobrjanka,PER,33686,32304,Volga,Dobryanka,XYZ123
Primorsko-Achtarsk,KND,32257,32180,Southern,Primorsko-Akhtarsk,XYZ123
Muravlenko,TUM,33391,32132,Ural,XYZ123,XYZ123
Vjatskije Poljany,KIR,35162,32108,Volga,Vyatskiye Polyany,XYZ123
Kulebaki,NNO,35759,32076,Volga,XYZ123,XYZ123
Tejkovo,IVA,34976,32033,Central,Teykovo,XYZ123
Mirnyj,ARC,30280,32028,North West,Mirny,XYZ123
Uglic,JAR,34507,31861,Central,Uglich,XYZ123
Kudrovo,LEN,,31577,North West,XYZ123,XYZ123
Novovoronez,VRN,32635,31568,Central,Novovoronezh,XYZ123
Serdobsk,PEN,35393,31475,Volga,XYZ123,XYZ123
Velikij Ustjug,VLD,31665,31189,North West,Veliky Ustyug,XYZ123
Marks,SAR,31531,31184,Volga,XYZ123,XYZ123
Djurtjuli,BAS,31274,30912,Volga,Dyurtyuli,XYZ123
Kudymkar,PER,28967,30904,Volga,XYZ123,XYZ123
Nartkala,KBA,31694,30832,Northern Caucasus,XYZ123,XYZ123
Zima,IRK,32508,30818,Siberia,XYZ123,XYZ123
Bogorodick,TUL,31897,30772,Central,Bogoroditsk,XYZ123
Rostov,JAR,31792,30700,Central,XYZ123,XYZ123
Kandalaksa,MUR,35654,30575,North West,Kandalaksha,XYZ123
Blagodarnyj,STA,32725,30530,Northern Caucasus,Blagodarny,XYZ123
Tomilino,MOS,30605,30482,Central,XYZ123,XYZ123
Ust-Dzeguta,KCE,30566,30369,Northern Caucasus,Ust-Dzheguta,XYZ123
Artemovskij,SVE,33160,30366,Ural,Artyomovsky,XYZ123
Kirov,KLG,31882,30334,Central,XYZ123,XYZ123
Luchovicy,MOS,29850,30290,Central,Lukhovitsy,XYZ123
Kochma,IVA,29411,30220,Central,Kokhma,XYZ123
Dedovsk,MOS,29108,30061,Central,XYZ123,XYZ123
Mozajsk,MOS,31363,30056,Central,Mozhaysk,XYZ123
Gorodec,NNO,30658,29854,Volga,Gorodets,XYZ123
Ob,NSB,25382,29739,Siberia,XYZ123,XYZ123
Kondopoga,KAR,32987,29735,North West,XYZ123,XYZ123
Kasimov,RAZ,33491,29700,Central,XYZ123,XYZ123
Starominskaja,KND,29809,29700,Southern,Starominskaya,XYZ123
Sovetskij,TUM,26495,29624,Ural,Sovetsky,XYZ123
Dagestanskije Ogni,DAG,27923,29555,Northern Caucasus,Dagestanskiye Ogni,XYZ123
Kotovsk,TAM,31850,29377,Central,XYZ123,XYZ123
Slavgorod,ALT,32389,29371,Siberia,XYZ123,XYZ123
Kostomuksa,KAR,28436,29367,North West,Kostomuksha,XYZ123
Asa,CEL,31881,29274,Ural,Asha,XYZ123
Alejsk,ALT,29510,29249,Siberia,Aleysk,XYZ123
Divnogorsk,KNJ,28272,29195,Siberia,XYZ123,XYZ123
Borzja,ZAB,31379,29181,Far East,Borzya,XYZ123
Aprelevka,MOS,18349,29147,Central,XYZ123,XYZ123
Markova,IRK,9894,29141,Siberia,XYZ123,XYZ123
Bogdanovic,SVE,30670,29108,Ural,Bogdanovich,XYZ123
Likino-Dulevo,MOS,31321,29036,Central,Likino-Dulyovo,XYZ123
Gagarin,SMO,31721,28797,Central,XYZ123,XYZ123
Barabinsk,NSB,30394,28786,Siberia,XYZ123,XYZ123
Pavlovskaja,KND,31327,28760,Southern,Pavlovskaya,XYZ123
Sumerlja,CUV,31722,28647,Volga,Shumerlya,XYZ123
Gubkinskij,TUM,23335,28564,Ural,Gubkinsky,XYZ123
Petrovsk,SAR,31160,28490,Volga,XYZ123,XYZ123
Kartaly,CEL,29131,28442,Ural,XYZ123,XYZ123
Gusev,KLN,28260,28307,North West,XYZ123,Gumbinnen
Jemanzelinsk,CEL,30216,28217,Ural,Yemanzhelinsk,XYZ123
Kuscevskaja,KND,28362,28080,Southern,Kushchyovskaya,XYZ123
Pochvistnevo,SAM,28169,28044,Volga,Pokhvistnevo,XYZ123
Staraja Russa,NGR,31809,28043,North West,Staraya Russa,XYZ123
Tara,OMS,27318,27975,Siberia,XYZ123,XYZ123
Inozemcevo,STA,28398,27935,Northern Caucasus,Inozemtsevo,XYZ123
Zarecnyj,SVE,26820,27795,Ural,Zarechny,XYZ123
Novotitarovskaja,KND,24754,27760,Southern,XYZ123,XYZ123
