Name,Administration,Pop2010,Pop2019,Region,city,city2,1,2,3,4
Verchnjaja Pysma,SVE,59749,71241,Ural,Verkhnyaya Pyshma,XYZ123,NA,NA,NA,NA
Kirovo-Cepeck,KIR,80921,70722,Volga,Kirovo-Chepetsk,XYZ123,NA,NA,NA,NA
Anzero-Sudzensk,KEM,76646,69253,Siberia,Anzhero-Sudzhensk,XYZ123,NA,NA,NA,NA
Dmitrov,MOS,61305,68666,Central,XYZ123,XYZ123,NA,NA,NA,NA
Tujmazy,BAS,66836,68587,Volga,Tuymazy,XYZ123,NA,NA,NA,NA
Sosnovyj Bor,LEN,65788,68344,North West,Sosnovy Bor,XYZ123,NA,NA,NA,NA
Minusinsk,KNJ,71170,68002,Siberia,XYZ123,XYZ123,NA,NA,NA,NA
Kstovo,NNO,66657,67439,Volga,XYZ123,XYZ123,Pestovo,NA,NA,NA
Georgijevsk,STA,72153,67054,Northern Caucasus,Georgiyevsk,XYZ123,Georgievsk,NA,NA,NA
Slavjansk-na-Kubani,KND,63842,66829,Southern,Slavyansk-na-Kubani,XYZ123,NA,NA,NA,NA
Kogalym,TUM,58181,66720,Ural,XYZ123,XYZ123,NA,NA,NA,NA
Sunza,ING,61598,66047,Northern Caucasus,Sunzha,Ordzonikidzevskaja,Ruza,NA,NA,NA
Stupino,MOS,66816,65990,Central,XYZ123,XYZ123,NA,NA,NA,NA
Belogorsk,AMU,68249,65809,Far East,XYZ123,XYZ123,Belomorsk,NA,NA,NA
Bujnaksk,DAG,62623,65544,Northern Caucasus,Buynaksk,XYZ123,NA,NA,NA,NA
Kungur,PER,66074,65284,Volga,XYZ123,XYZ123,NA,NA,NA,NA
Zarecnyj,PEN,63601,65194,Volga,Zarechny,Penza-19,NA,NA,NA,NA
Beloreck,BAS,68806,65054,Volga,Beloretsk,XYZ123,NA,NA,NA,NA
Isim,TUM,65243,64653,Ural,Ishim,XYZ123,NA,NA,NA,NA
Isimbaj,BAS,66259,64307,Volga,Ishimbay,XYZ123,NA,NA,NA,NA
Pavlovskij Posad,MOS,63711,63940,Central,Pavlovsky Posad,XYZ123,Pavlovskiy Posad,NA,NA,NA
Gorno-Altajsk,ALZ,56933,63845,Siberia,Gorno-Altaysk,XYZ123,NA,NA,NA,NA
