Name,Administration,Pop2014,Pop2019,city,city2,city3,city4
Hadjac,POL,24187,23480,Hadiach,XYZ123,,
Kozjatyn,VIN,24180,23241,Koziatyn,XYZ123,,
Dokucaevsk,DON,23641,23067,Dokuchaievsk,XYZ123,,
Vilnohirsk,DNI,23766,22979,Vilnohirsk,XYZ123,,
Krolevec,SUM,23507,22907,Krolevets,XYZ123,,
Ladyzyn,VIN,22783,22687,Ladyzhyn,XYZ123,,
Molodohvardijsk,LUH,23113,22671,Molodohvardiysk,XYZ123,,
Selidove,DON,23989,22614,Selydove,XYZ123,,
Nadvirna,IVA,22255,22447,XYZ123,XYZ123,,
Znamjanka,KIR,23743,22444,Znamianka,XYZ123,,
Volnovacha,DON,23164,21902,Volnovakha,XYZ123,,
Merefa,CHA,22383,21794,Merefa,XYZ123,,
Armjansk,KRY,22286,21552,Armyansk,Armensk,,
Kremenec,TER,21624,21063,Kremenets,XYZ123,,
Lyman,DON,22409,21007,XYZ123,Krasnyj Liman,,
Sokal,LVI,21371,20986,Sokal,XYZ123,,
Ljubotyn,CHA,21853,20887,Liubotyn,XYZ123,,
Polonne,CHM,21651,20785,Polonne,XYZ123,,
Dolyna,IVA,20654,20691,XYZ123,XYZ123,,
Suchodilsk,LUH,20949,20662,Sukhodilsk,XYZ123,,
Stebnyk,LVI,20988,20645,Stebnyk,XYZ123,,
Krasnohrad,CHA,21231,20447,XYZ123,XYZ123,,
Popasna,LUH,21765,20306,XYZ123,XYZ123,,
Trostjanec,SUM,21220,20238,Trostianets,XYZ123,,
Jahotyn,KYI,20340,19613,Yahotyn,XYZ123,,
Kilija,ODE,20449,19540,Kiliya,XYZ123,,
Henicesk,CHE,20132,19501,Henichesk,XYZ123,,
Kurachove,DON,19950,18984,Kurakhove,XYZ123,,
Kalynivka,VIN,19226,18907,XYZ123,XYZ123,,
Polohy,ZAP,19750,18886,XYZ123,XYZ123,,
Krasyliv,CHM,19679,18868,XYZ123,XYZ123,,
Kreminna,LUH,20137,18859,Kreminna,XYZ123,,
Volocysk,CHM,19574,18802,Volochysk,XYZ123,,
Pjatychatky,DNI,18886,18698,Piatykhatky,XYZ123,,
Reni,ODE,19315,18530,Reni,XYZ123,,
Balta,ODE,19082,18511,XYZ123,XYZ123,,
Dniprorudne,ZAP,19361,18468,Dniprorudne,XYZ123,,
Amvrosiivka,DON,18682,18159,Amvrosiivka,XYZ123,,
Vovcansk,CHA,19029,18127,Vovchansk,XYZ123,,
Derhaci,CHA,18210,17781,Derhachi,XYZ123,,
Bachmac,CNH,18604,17599,Bakhmach,XYZ123,,
Starobilsk,LUH,17980,16753,Starobilsk,XYZ123,,
Vatutine,CKS,17278,16389,Vatutine,XYZ123,,
