Name,Administration,Pop2010,Pop2019,Region,city,city2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Tula,TUL,501169,479105,Central,XYZ123,XYZ123,Tuma,Tura,Tuxa,Tulai,Tuba,Tulay,Tulan,Tyla,Tuga,Tuyla,Tulat,Sula,Yula,NA,NA,NA,NA
Kursk,KRS,415159,449556,Central,XYZ123,XYZ123,Sursk,Kursky,Kursko,Kulsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivanovo,IVA,408330,405053,Central,XYZ123,XYZ123,Ivanova,Ivankovo,Ivanov,Evanovo,Zvanovo,Ivakovo,Ivanovy,Ivanevo,NA,NA,NA,NA,NA,NA,NA,NA,NA
Surgut,TUM,306675,373940,Ural,XYZ123,XYZ123,Surguty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cita,ZAB,324444,349983,Far East,Chita,XYZ123,Sita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaluga,KLG,324698,336726,Central,XYZ123,XYZ123,Kalga,Paluga,Kalugi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smolensk,SMO,326861,329427,Central,XYZ123,XYZ123,Smolensky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saransk,MOR,297415,318578,Volga,XYZ123,XYZ123,Yaransk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kurgan,KGN,333606,315311,Ural,XYZ123,XYZ123,Kuragan,Kurga,Zurgan,Kargan,Kurgat,Kurgak,Kurtan,Kurgany,Kurkan,Kurlan,NA,NA,NA,NA,NA,NA,NA
Orel,ORL,317747,311625,Central,Oryol,XYZ123,Oral,Urel,Ozel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Podolsk,MOS,255002,304245,Central,Podolsk,"Klimovsk, Lvovskij",Podelsk,Podolsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kostroma,KOS,268742,276064,Central,XYZ123,XYZ123,Kostoma,Kostrova,Kostromka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joskar-Ola,MRE,248782,271868,Volga,Yoshkar-Ola,XYZ123,Joshkar-Ola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chimki,MOS,207425,254748,Central,Khimki,XYZ123,Shimki,Chirki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orsk,ORB,239800,227924,Volga,XYZ123,XYZ123,Ursk,Ors,Orik,Orsuk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bratsk,IRK,246319,227467,Siberia,XYZ123,XYZ123,Bratsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blagovescensk,AMU,214390,225810,Far East,Blagoveshchensk,XYZ123,Blagoveschensk,Blagoveschensk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angarsk,IRK,233567,225489,Siberia,XYZ123,XYZ123,Angarsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Korolev,MOS,216639,224533,Central,Korolyov,Kaliningrad; Jubilejnyj,Korolevo,Koroleva,Korolevy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Velikij Novgorod,NGR,218717,224297,North West,Veliky Novgorod,XYZ123,Velikiy Novgorod,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
